text,happy,
" I`d have responded, if I were going",0,
 Sooo SAD I will miss you here in San Diego!!!,0,
my boss is bullying me...,0,
 what interview! leave me alone,0,
" Sons of ****, why couldn`t they put them on the releases we already bought",0,
http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,0,
2am feedings for the baby are fun when he is all smiles and coos,1,
Soooo high,0,
 Both of you,0,
 Journey!? Wow... u just became cooler.  hehe... (is that possible!?),1,
" as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",0,
I really really like the song Love Story by Taylor Swift,1,
My Sharpie is running DANGERously low on ink,0,
i want to go to music tonight but i lost my voice.,0,
test test from the LG enV2,0,
"Uh oh, I am sunburned",0,
" S`ok, trying to plot alternatives as we speak *sigh*",0,
"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",0,
is back home now      gonna miss every one,0,
Hes just not that into you,0,
" oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",0,
Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,1,
is cleaning the house for her family who is comming later today..,0,
gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,0,
SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,0,hkh
"the free fillin` app on my ipod is fun, im addicted",1,
  I`m sorry.,0,
On the way to Malaysia...no internet access to Twit,0,
juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,1,
Went to sleep and there is a power cut in Noida  Power back up not working too,0,
I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,1,
i hope unni will make the audition . fighting dahye unni !,1,
 If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,0,
 That`s very funny.  Cute kids.,1,
" Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",0,
"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4",0,
Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,0,
"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",0,
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,0,
"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",1,
" Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",0,
im an avid fan of **** magazine and i love your magazines,1,
MAYDAY?!,0,
"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",0,
 I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,1,
The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,0,
